epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.78,1.18296,3.1051,1.6709,0.59478,0.4496,0.45565,0.24805,1.36665,1.679,1.98651,0.00332528,0.00332528,0.00332528
2,116.881,1.18034,2.1025,1.64591,0.69804,0.44737,0.50433,0.29637,1.44063,1.67435,2.11005,0.00659269,0.00659269,0.00659269
3,173.129,1.2558,2.07784,1.71146,0.61232,0.38012,0.3695,0.16704,1.83919,2.10456,2.47136,0.00979411,0.00979411,0.00979411
4,229.393,1.30844,2.02956,1.75938,0.60218,0.38459,0.38213,0.19964,1.69013,1.91068,2.46195,0.009703,0.009703,0.009703
5,286.778,1.27064,1.8689,1.73096,0.44875,0.51631,0.47161,0.24761,1.57938,1.56663,2.29639,0.009604,0.009604,0.009604
6,342.708,1.21986,1.71467,1.69003,0.4724,0.48407,0.5126,0.28438,1.52092,1.52769,2.13681,0.009505,0.009505,0.009505
7,397.733,1.1855,1.60329,1.65724,0.5414,0.49555,0.54306,0.31201,1.47627,1.45656,2.08765,0.009406,0.009406,0.009406
8,453.031,1.18808,1.55512,1.65744,0.52887,0.51672,0.53555,0.3207,1.43038,1.30836,2.0138,0.009307,0.009307,0.009307
9,507.779,1.14993,1.48677,1.62973,0.59067,0.51684,0.56373,0.36131,1.34325,1.31882,1.99228,0.009208,0.009208,0.009208
10,563.406,1.1342,1.43807,1.60944,0.65729,0.54768,0.63361,0.38447,1.4863,1.16331,2.09635,0.009109,0.009109,0.009109
11,618.967,1.12583,1.40569,1.60735,0.6025,0.57162,0.61042,0.36917,1.42087,1.20558,2.08418,0.00901,0.00901,0.00901
12,673.95,1.11434,1.37149,1.59269,0.6158,0.56446,0.60744,0.39178,1.30414,1.12612,1.95794,0.008911,0.008911,0.008911
13,730.012,1.09138,1.32012,1.57707,0.66425,0.56753,0.64196,0.3901,1.31272,1.10274,1.87764,0.008812,0.008812,0.008812
14,786.476,1.08624,1.31035,1.57074,0.64721,0.64716,0.67441,0.43558,1.2618,0.97767,1.83922,0.008713,0.008713,0.008713
15,840.44,1.0741,1.2809,1.56339,0.62749,0.60938,0.67173,0.42706,1.26999,1.03976,1.86996,0.008614,0.008614,0.008614
16,894.609,1.05998,1.23014,1.54386,0.62543,0.56409,0.60562,0.38451,1.331,1.19682,2.00488,0.008515,0.008515,0.008515
17,951.282,1.05753,1.21889,1.53998,0.66222,0.67246,0.70006,0.45355,1.20765,0.94284,1.807,0.008416,0.008416,0.008416
18,1009.17,1.0588,1.19921,1.53666,0.64041,0.60484,0.66904,0.44813,1.19932,0.9903,1.81768,0.008317,0.008317,0.008317
19,1066.55,1.03831,1.16565,1.52651,0.66733,0.61984,0.69472,0.43535,1.25116,0.92932,1.85862,0.008218,0.008218,0.008218
20,1121.89,1.03677,1.15035,1.51867,0.70926,0.62989,0.70188,0.4677,1.2209,0.87551,1.80032,0.008119,0.008119,0.008119
21,1177.8,1.03005,1.13792,1.51481,0.66112,0.59176,0.67352,0.43614,1.22702,0.9872,1.82867,0.00802,0.00802,0.00802
22,1234.93,1.01969,1.14393,1.51403,0.63507,0.64051,0.68191,0.44712,1.18172,0.92073,1.76042,0.007921,0.007921,0.007921
23,1293.3,1.02546,1.10987,1.50642,0.67881,0.61116,0.6943,0.4681,1.17021,0.89506,1.76306,0.007822,0.007822,0.007822
24,1350.55,1.00059,1.08363,1.48794,0.6778,0.62865,0.68824,0.45488,1.21521,0.89987,1.79653,0.007723,0.007723,0.007723
25,1407.77,1.01217,1.08207,1.50133,0.64836,0.66794,0.70782,0.45859,1.18278,0.85074,1.72005,0.007624,0.007624,0.007624
26,1464.42,0.99878,1.07389,1.48277,0.6899,0.63218,0.70093,0.46882,1.16624,0.83544,1.72088,0.007525,0.007525,0.007525
27,1520.75,0.97639,1.03588,1.47209,0.69953,0.62967,0.70429,0.46705,1.19691,0.84003,1.77366,0.007426,0.007426,0.007426
28,1577.37,0.9876,1.04138,1.47797,0.65635,0.67996,0.71722,0.48976,1.14424,0.81974,1.69721,0.007327,0.007327,0.007327
29,1634.13,0.97129,1.01185,1.46512,0.68145,0.63294,0.67678,0.45727,1.1616,0.89868,1.75759,0.007228,0.007228,0.007228
30,1691.46,0.97696,1.0122,1.46911,0.672,0.65905,0.69864,0.47646,1.15664,0.81797,1.72847,0.007129,0.007129,0.007129
31,1747.77,0.95043,1.00468,1.44756,0.70548,0.65049,0.72222,0.4823,1.14955,0.79431,1.72052,0.00703,0.00703,0.00703
32,1802.86,0.96422,0.98831,1.45383,0.71376,0.70612,0.73789,0.49572,1.15481,0.76281,1.70322,0.006931,0.006931,0.006931
33,1858.39,0.95336,0.95938,1.44484,0.75184,0.64032,0.74688,0.50276,1.13675,0.73664,1.67801,0.006832,0.006832,0.006832
34,1913.44,0.9461,0.94755,1.43379,0.68542,0.66798,0.72479,0.49485,1.16056,0.78541,1.72648,0.006733,0.006733,0.006733
35,1968.66,0.94533,0.95199,1.43532,0.65079,0.66996,0.69939,0.48103,1.12304,0.81113,1.68655,0.006634,0.006634,0.006634
36,2022.96,0.94157,0.95953,1.43765,0.69244,0.681,0.73037,0.48859,1.15965,0.76827,1.69005,0.006535,0.006535,0.006535
37,2077.84,0.93672,0.93261,1.42611,0.68364,0.67746,0.72138,0.50401,1.10404,0.73512,1.67448,0.006436,0.006436,0.006436
38,2129.79,0.93751,0.93028,1.42723,0.69365,0.71576,0.74103,0.50497,1.13275,0.72611,1.69145,0.006337,0.006337,0.006337
39,2181.66,0.9266,0.91165,1.42285,0.71585,0.66483,0.72468,0.49281,1.14855,0.79967,1.68329,0.006238,0.006238,0.006238
