epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2118,0.7203,0.62099,1.25187,0.76818,0.70287,0.75275,0.54364,1.13871,0.68028,1.74278,0.00332528,0.00332528,0.00332528
2,120.412,0.73859,0.61625,1.26143,0.67883,0.68472,0.71932,0.50932,1.30272,0.76447,1.94126,0.00663225,0.00663225,0.00663225
3,177.16,0.82809,0.71467,1.32217,0.72213,0.66748,0.71356,0.49725,1.18823,0.83546,1.75455,0.00991281,0.00991281,0.00991281
4,232.769,0.89424,0.83138,1.37714,0.70886,0.68522,0.71197,0.47694,1.25901,0.80714,1.83118,0.0098812,0.0098812,0.0098812
5,287.945,0.91995,0.85874,1.3989,0.69412,0.66133,0.71133,0.47933,1.24294,0.89186,1.82921,0.0098416,0.0098416,0.0098416
6,343.386,0.91904,0.85743,1.40096,0.6937,0.6745,0.71518,0.46714,1.28371,0.83933,1.87322,0.009802,0.009802,0.009802
7,398.98,0.90475,0.86551,1.39426,0.68797,0.64439,0.68125,0.4466,1.2594,0.86559,1.86291,0.0097624,0.0097624,0.0097624
8,454.975,0.92635,0.87009,1.40092,0.65075,0.66986,0.70275,0.45859,1.26889,0.85231,1.83499,0.0097228,0.0097228,0.0097228
9,511.719,0.91322,0.86441,1.40042,0.67637,0.65822,0.71607,0.46804,1.32795,0.83118,1.97312,0.0096832,0.0096832,0.0096832
10,568.045,0.91101,0.84876,1.39687,0.65936,0.67264,0.69483,0.45629,1.20977,0.8766,1.80103,0.0096436,0.0096436,0.0096436
11,621.948,0.91502,0.86336,1.3993,0.67685,0.62239,0.6498,0.45066,1.28998,1.02162,1.94339,0.009604,0.009604,0.009604
12,677.529,0.90917,0.84232,1.39303,0.69157,0.67392,0.69351,0.46951,1.15989,1.01801,1.75596,0.0095644,0.0095644,0.0095644
13,733.09,0.89995,0.84322,1.38961,0.64553,0.64437,0.68197,0.45815,1.18458,0.90499,1.75352,0.0095248,0.0095248,0.0095248
14,787.655,0.90398,0.83788,1.39074,0.6987,0.69399,0.73044,0.49525,1.16087,0.86701,1.73926,0.0094852,0.0094852,0.0094852
15,842.862,0.89844,0.84085,1.39095,0.70368,0.65628,0.69785,0.47717,1.16246,0.77989,1.76237,0.0094456,0.0094456,0.0094456
16,897.559,0.89092,0.81946,1.3806,0.72037,0.68928,0.74131,0.48983,1.18662,0.76496,1.75019,0.009406,0.009406,0.009406
17,952.763,0.89744,0.81726,1.3851,0.71275,0.69289,0.73338,0.50091,1.19173,0.79257,1.75983,0.0093664,0.0093664,0.0093664
18,1008.07,0.89564,0.81869,1.38047,0.64621,0.69398,0.69183,0.47592,1.21561,0.93713,1.80089,0.0093268,0.0093268,0.0093268
19,1063,0.88704,0.79919,1.37609,0.69758,0.65306,0.7018,0.49021,1.27423,0.80133,1.90021,0.0092872,0.0092872,0.0092872
20,1117.44,0.88719,0.80796,1.37442,0.70264,0.68943,0.72205,0.48379,1.18998,0.8617,1.79865,0.0092476,0.0092476,0.0092476
21,1173.53,0.88665,0.79814,1.37082,0.73159,0.66286,0.71699,0.49144,1.21328,0.79299,1.79048,0.009208,0.009208,0.009208
22,1229.32,0.88829,0.81695,1.37784,0.72256,0.67217,0.71887,0.49304,1.19889,0.85755,1.79621,0.0091684,0.0091684,0.0091684
23,1286.28,0.88804,0.79692,1.37446,0.68241,0.68877,0.70238,0.48237,1.19489,0.88587,1.77619,0.0091288,0.0091288,0.0091288
24,1342.91,0.87116,0.793,1.35796,0.72132,0.67779,0.7059,0.48981,1.24711,0.77591,1.86808,0.0090892,0.0090892,0.0090892
25,1398.85,0.87976,0.79976,1.37428,0.74419,0.64337,0.72485,0.48187,1.20407,0.91187,1.77996,0.0090496,0.0090496,0.0090496
26,1454.83,0.87774,0.79295,1.36061,0.70533,0.66639,0.71968,0.48691,1.17588,0.87712,1.74952,0.00901,0.00901,0.00901
27,1511.34,0.856,0.77695,1.35331,0.72868,0.64523,0.71421,0.49599,1.19455,0.78136,1.76898,0.0089704,0.0089704,0.0089704
28,1567.95,0.87155,0.77531,1.3627,0.73192,0.69912,0.72318,0.50681,1.12538,0.76246,1.68591,0.0089308,0.0089308,0.0089308
29,1623.93,0.86245,0.76819,1.3598,0.68917,0.68732,0.71235,0.49431,1.2341,0.79589,1.84516,0.0088912,0.0088912,0.0088912
30,1680.06,0.8681,0.76815,1.36079,0.69611,0.67989,0.71101,0.49601,1.16341,0.8023,1.75506,0.0088516,0.0088516,0.0088516
31,1735.7,0.84692,0.77672,1.34985,0.75362,0.68904,0.73308,0.49513,1.18376,0.75149,1.75516,0.008812,0.008812,0.008812
32,1791.73,0.8632,0.75795,1.35415,0.72723,0.66168,0.72394,0.5015,1.13054,0.8509,1.68457,0.0087724,0.0087724,0.0087724
33,1847.03,0.85138,0.76085,1.34716,0.73034,0.68777,0.74265,0.5215,1.23044,0.71006,1.81239,0.0087328,0.0087328,0.0087328
34,1902.86,0.85231,0.73877,1.34301,0.7086,0.66854,0.72509,0.50455,1.26363,0.7698,1.86209,0.0086932,0.0086932,0.0086932
35,1958.63,0.86048,0.74078,1.34996,0.72123,0.66206,0.71527,0.50326,1.1636,0.77883,1.75133,0.0086536,0.0086536,0.0086536
36,2014.39,0.85468,0.76114,1.34908,0.70335,0.67423,0.72127,0.49452,1.18194,0.84496,1.73625,0.008614,0.008614,0.008614
37,2070.82,0.84525,0.75076,1.33768,0.69971,0.67448,0.72119,0.48495,1.2415,0.77401,1.84498,0.0085744,0.0085744,0.0085744
38,2126.6,0.84715,0.73711,1.33831,0.68453,0.70066,0.72359,0.49227,1.26808,0.74391,1.8573,0.0085348,0.0085348,0.0085348
39,2182.69,0.84267,0.73076,1.33983,0.6991,0.67004,0.70756,0.48646,1.16941,0.78572,1.73213,0.0084952,0.0084952,0.0084952
40,2238.8,0.8466,0.7239,1.33524,0.70058,0.67691,0.71299,0.49643,1.20258,0.83449,1.78935,0.0084556,0.0084556,0.0084556
41,2296.98,0.8361,0.72426,1.32927,0.66022,0.69456,0.71842,0.49692,1.16587,0.78703,1.71772,0.008416,0.008416,0.008416
42,2354.68,0.84148,0.72817,1.33932,0.71872,0.67819,0.72567,0.50852,1.24345,0.75425,1.83365,0.0083764,0.0083764,0.0083764
43,2413.99,0.83103,0.70981,1.32656,0.726,0.65755,0.71917,0.51934,1.08923,0.74594,1.66694,0.0083368,0.0083368,0.0083368
44,2472.11,0.82535,0.71676,1.32537,0.70286,0.68076,0.72595,0.50753,1.25372,0.72698,1.86611,0.0082972,0.0082972,0.0082972
45,2529.61,0.83229,0.70492,1.32772,0.7004,0.70101,0.73041,0.5133,1.26353,0.7138,1.94493,0.0082576,0.0082576,0.0082576
46,2585.27,0.8198,0.72114,1.32263,0.72912,0.67567,0.75098,0.52773,1.11689,0.73174,1.65959,0.008218,0.008218,0.008218
47,2640.7,0.83301,0.72255,1.32671,0.71519,0.67626,0.72265,0.51103,1.0943,0.69529,1.67068,0.0081784,0.0081784,0.0081784
48,2696.64,0.82339,0.70995,1.32075,0.71587,0.69004,0.73321,0.5093,1.1694,0.78522,1.76988,0.0081388,0.0081388,0.0081388
49,2751.9,0.81959,0.71702,1.31817,0.71841,0.71101,0.73615,0.5109,1.18798,0.75593,1.7809,0.0080992,0.0080992,0.0080992
50,2807.47,0.82486,0.70214,1.32275,0.69063,0.70345,0.74357,0.53011,1.12811,0.69445,1.69538,0.0080596,0.0080596,0.0080596
51,2863.03,0.81468,0.70428,1.31483,0.69457,0.72487,0.74055,0.51781,1.12969,0.74836,1.69964,0.00802,0.00802,0.00802
